,®É¶¡,201 [,201 [,201 [Bar],201 [rpm],201 [,201 [ml]
2016/4/28,10:16:45,23.7,25.19,7.74,9.3,0.3,0.01
2016/4/28,10:16:46,23.7,25.21,7.73,9.3,0.3,0.01
2016/4/28,10:16:47,23.7,25.21,7.73,9.2,0.3,0.01
2016/4/28,10:16:48,23.8,25.17,7.73,9.2,0.3,0.01
2016/4/28,10:16:49,23.9,25.15,7.74,9.3,0.3,0.01
2016/4/28,10:16:50,23.8,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:16:51,23.7,25.19,7.74,9.3,0.3,0.01
2016/4/28,10:16:52,23.7,25.21,7.74,9.3,0.3,0.01
2016/4/28,10:16:53,23.7,25.21,7.73,9.2,0.3,0.01
2016/4/28,10:16:54,23.7,25.21,7.73,9.2,0.3,0.01
2016/4/28,10:16:55,23.7,25.17,7.73,9.2,0.3,0.01
2016/4/28,10:16:56,23.7,25.15,7.73,9.3,0.3,0.01
2016/4/28,10:16:57,23.6,25.15,7.73,9.3,0.3,0.01
2016/4/28,10:16:58,23.6,25.19,7.73,9.4,0.3,0.01
2016/4/28,10:16:59,23.7,25.21,7.73,9.4,0.3,0.01
2016/4/28,10:17:00,23.7,25.24,7.74,9.3,0.3,0.01
2016/4/28,10:17:01,23.7,25.24,7.73,9.2,0.3,0.01
2016/4/28,10:17:02,23.7,25.21,7.73,9.2,0.3,0.01
2016/4/28,10:17:03,23.8,25.15,7.73,9.3,0.3,0.01
2016/4/28,10:17:04,23.8,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:17:05,23.6,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:17:06,23.5,25.21,7.73,9.3,0.3,0.01
2016/4/28,10:17:07,23.7,25.21,7.73,9.4,0.3,0.01
2016/4/28,10:17:08,23.7,25.21,7.73,9.3,0.3,0.01
2016/4/28,10:17:09,23.7,25.21,7.73,9.2,0.3,0.01
2016/4/28,10:17:10,23.8,25.17,7.73,9.2,0.3,0.01
2016/4/28,10:17:11,23.7,25.17,7.73,9.3,0.3,0.01
2016/4/28,10:17:12,23.7,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:17:13,23.7,25.19,7.73,9.3,0.3,0.01
2016/4/28,10:17:14,23.7,25.24,7.73,9.2,0.3,0.01
2016/4/28,10:17:15,23.7,25.24,7.73,9.1,0.2,0.01
2016/4/28,10:17:16,23.7,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:17:17,23.6,25.19,7.73,9.2,0.3,0.01
2016/4/28,10:17:18,23.6,25.15,7.73,9.3,0.3,0.01
2016/4/28,10:17:19,23.7,25.19,7.73,9.5,0.3,0.01
2016/4/28,10:17:20,23.7,25.21,7.73,9.3,0.3,0.01
2016/4/28,10:17:21,23.8,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:17:22,23.7,25.24,7.73,9.2,0.3,0.01
2016/4/28,10:17:23,23.6,25.17,7.73,9.3,0.3,0.01
2016/4/28,10:17:24,23.7,25.17,7.73,9.3,0.3,0.01
2016/4/28,10:17:25,23.7,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:17:26,23.7,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:17:27,23.7,25.24,7.73,9.4,0.3,0.01
2016/4/28,10:17:28,23.6,25.24,7.72,9.2,0.3,0.01
2016/4/28,10:17:29,23.7,25.17,7.73,9.2,0.3,0.01
2016/4/28,10:17:30,23.7,25.17,7.73,9.3,0.3,0.01
2016/4/28,10:17:31,23.7,25.19,7.73,9.4,0.3,0.01
2016/4/28,10:17:32,23.7,25.21,7.73,9.4,0.3,0.01
2016/4/28,10:17:33,23.7,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:17:34,23.7,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:17:35,23.7,25.21,7.72,9.3,0.3,0.01
2016/4/28,10:17:36,23.7,25.17,7.72,9.3,0.3,0.01
2016/4/28,10:17:37,23.7,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:17:38,23.7,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:17:39,23.6,25.24,7.73,9.4,0.3,0.01
2016/4/28,10:17:40,23.7,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:17:41,23.8,25.24,7.72,9.2,0.3,0.01
2016/4/28,10:17:42,23.9,25.24,7.72,9.2,0.3,0.01
2016/4/28,10:17:43,23.8,25.17,7.72,9.3,0.3,0.01
2016/4/28,10:17:44,23.7,25.17,7.73,9.4,0.3,0.01
2016/4/28,10:17:45,23.7,25.19,7.73,9.3,0.3,0.01
2016/4/28,10:17:46,23.7,25.19,7.73,9.3,0.3,0.01
2016/4/28,10:17:47,23.7,25.24,7.73,9.4,0.3,0.01
2016/4/28,10:17:48,23.7,25.24,7.73,9.4,0.3,0.01
2016/4/28,10:17:49,23.7,25.24,7.72,9.2,0.3,0.01
2016/4/28,10:17:50,23.8,25.19,7.72,9.3,0.3,0.01
2016/4/28,10:17:51,23.8,25.17,7.72,9.4,0.3,0.01
2016/4/28,10:17:52,23.6,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:17:53,23.6,25.24,7.73,9.4,0.3,0.01
2016/4/28,10:17:54,23.7,25.24,7.72,9.3,0.3,0.01
2016/4/28,10:17:55,23.7,25.26,7.72,9.4,0.3,0.01
2016/4/28,10:17:56,23.6,25.21,7.72,9.3,0.3,0.01
2016/4/28,10:17:57,23.6,25.17,7.72,9.3,0.3,0.01
2016/4/28,10:17:58,23.7,25.17,7.72,9.5,0.3,0.01
2016/4/28,10:17:59,23.7,25.19,7.73,9.5,0.3,0.01
2016/4/28,10:18:00,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:01,23.8,25.24,7.73,9.3,0.3,0.01
2016/4/28,10:18:02,23.7,25.26,7.72,9.3,0.3,0.01
2016/4/28,10:18:03,23.7,25.24,7.72,9.3,0.3,0.01
2016/4/28,10:18:04,23.7,25.17,7.72,9.3,0.3,0.01
2016/4/28,10:18:05,23.7,25.17,7.72,9.3,0.3,0.01
2016/4/28,10:18:06,23.5,25.19,7.72,9.5,0.3,0.01
2016/4/28,10:18:07,23.6,25.21,7.72,9.4,0.3,0.01
2016/4/28,10:18:08,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:09,23.8,25.24,7.72,9.3,0.3,0.01
2016/4/28,10:18:10,23.7,25.24,7.72,9.3,0.3,0.01
2016/4/28,10:18:11,23.7,25.17,7.72,9.3,0.3,0.01
2016/4/28,10:18:12,23.7,25.19,7.72,9.5,0.3,0.01
2016/4/28,10:18:13,23.5,25.21,7.72,9.4,0.3,0.01
2016/4/28,10:18:14,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:15,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:16,23.7,25.26,7.72,9.3,0.3,0.01
2016/4/28,10:18:17,23.6,25.17,7.72,9.2,0.3,0.01
2016/4/28,10:18:18,23.7,25.19,7.72,9.5,0.3,0.01
2016/4/28,10:18:19,23.6,25.21,7.72,9.5,0.3,0.01
2016/4/28,10:18:20,23.8,25.26,7.72,9.4,0.3,0.01
2016/4/28,10:18:21,23.8,25.26,7.72,9.3,0.3,0.01
2016/4/28,10:18:22,23.8,25.21,7.72,9.3,0.3,0.01
2016/4/28,10:18:23,23.7,25.17,7.72,9.4,0.3,0.01
2016/4/28,10:18:24,23.7,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:18:25,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:26,23.8,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:27,23.8,25.26,7.72,9.2,0.3,0.01
2016/4/28,10:18:28,23.7,25.17,7.72,9.2,0.3,0.01
2016/4/28,10:18:29,23.7,25.19,7.72,9.5,0.3,0.01
2016/4/28,10:18:30,23.7,25.21,7.72,9.5,0.3,0.01
2016/4/28,10:18:31,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:32,23.6,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:33,23.6,25.21,7.71,9.4,0.3,0.01
2016/4/28,10:18:34,23.7,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:18:35,23.7,25.21,7.72,9.4,0.3,0.01
2016/4/28,10:18:36,23.8,25.26,7.72,9.4,0.3,0.01
2016/4/28,10:18:37,23.7,25.24,7.72,9.4,0.2,0.01
2016/4/28,10:18:38,23.7,25.24,7.72,9.3,0.3,0.01
2016/4/28,10:18:39,23.7,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:18:40,23.8,25.19,7.72,9.5,0.3,0.01
2016/4/28,10:18:41,23.7,25.26,7.72,9.4,0.3,0.01
2016/4/28,10:18:42,23.7,25.26,7.72,9.3,0.3,0.01
2016/4/28,10:18:43,23.7,25.26,7.71,9.3,0.3,0.01
2016/4/28,10:18:44,23.7,25.19,7.72,9.3,0.3,0.01
2016/4/28,10:18:45,23.7,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:18:46,23.7,25.24,7.72,9.4,0.3,0.01
2016/4/28,10:18:47,23.7,25.26,7.72,9.4,0.3,0.01
2016/4/28,10:18:48,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:18:49,23.7,25.24,7.71,9.2,0.3,0.01
2016/4/28,10:18:50,23.7,25.19,7.72,9.4,0.3,0.01
2016/4/28,10:18:51,23.7,25.19,7.72,9.5,0.3,0
2016/4/28,10:18:52,23.8,25.24,7.72,9.3,0.3,0.01
2016/4/28,10:18:53,23.7,25.26,7.71,9.3,0.3,0.01
2016/4/28,10:18:54,23.7,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:18:55,23.7,25.24,7.71,9.3,0.3,0.01
2016/4/28,10:18:56,23.6,25.17,7.71,9.3,0.3,0.01
2016/4/28,10:18:57,23.7,25.19,7.71,9.5,0.3,0.01
2016/4/28,10:18:58,23.7,25.24,7.72,9.5,0.3,0.01
2016/4/28,10:18:59,23.7,25.24,7.71,9.4,0.3,0.01
2016/4/28,10:19:00,23.7,25.26,7.71,9.3,0.3,0.01
2016/4/28,10:19:01,23.7,25.19,7.71,9.4,0.3,0.01
2016/4/28,10:19:02,23.7,25.17,7.71,9.4,0.3,0.01
2016/4/28,10:19:03,23.8,25.21,7.72,9.4,0.3,0.01
2016/4/28,10:19:04,23.7,25.24,7.71,9.4,0.3,0.01
2016/4/28,10:19:05,23.6,25.24,7.71,9.4,0.2,0.01
2016/4/28,10:19:06,23.7,25.26,7.72,9.3,0.3,0.01
2016/4/28,10:19:07,23.7,25.19,7.71,9.3,0.3,0.01
2016/4/28,10:19:08,23.7,25.19,7.71,9.5,0.3,0.01
2016/4/28,10:19:09,23.7,25.24,7.71,9.5,0.3,0.01
2016/4/28,10:19:10,23.7,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:19:11,23.7,25.24,7.71,9.3,0.2,0.01
2016/4/28,10:19:12,23.8,25.24,7.71,9.4,0.3,0.01
2016/4/28,10:19:13,23.8,25.17,7.71,9.3,0.3,0.01
2016/4/28,10:19:14,23.7,25.19,7.71,9.4,0.3,0.01
2016/4/28,10:19:15,23.7,25.21,7.71,9.4,0.3,0.01
2016/4/28,10:19:16,23.6,25.24,7.71,9.5,0.3,0.01
2016/4/28,10:19:17,23.6,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:19:18,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:19:19,23.8,25.24,7.71,9.3,0.3,0.01
2016/4/28,10:19:20,23.7,25.19,7.71,9.4,0.3,0.01
2016/4/28,10:19:21,23.6,25.19,7.71,9.5,0.3,0.01
2016/4/28,10:19:22,23.7,25.19,7.71,9.4,0.3,0
2016/4/28,10:19:23,23.7,25.21,7.71,9.4,0.3,0.01
2016/4/28,10:19:24,23.7,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:19:25,23.8,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:19:26,23.7,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:19:27,23.7,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:19:28,23.7,25.21,7.71,9.3,0.3,0.01
2016/4/28,10:19:29,23.6,25.19,7.71,9.4,0.3,0.01
2016/4/28,10:19:30,23.6,25.19,7.71,9.5,0.3,0
2016/4/28,10:19:31,23.7,25.21,7.71,9.5,0.3,0.01
2016/4/28,10:19:32,23.6,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:19:33,23.7,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:19:34,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:19:35,23.8,25.21,7.71,9.3,0.3,0.01
2016/4/28,10:19:36,23.7,25.19,7.71,9.4,0.3,0.01
2016/4/28,10:19:37,23.6,25.21,7.71,9.5,0.3,0
2016/4/28,10:19:38,23.6,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:19:39,23.7,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:19:40,23.7,25.28,7.71,9.3,0.2,0.01
2016/4/28,10:19:41,23.7,25.19,7.71,9.4,0.2,0.01
2016/4/28,10:19:42,23.7,25.21,7.71,9.4,0.3,0.01
2016/4/28,10:19:43,23.7,25.24,7.71,9.4,0.3,0.01
2016/4/28,10:19:44,23.7,25.28,7.71,9.4,0.3,0.01
2016/4/28,10:19:45,23.7,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:19:46,23.7,25.24,7.7,9.3,0.2,0.01
2016/4/28,10:19:47,23.7,25.19,7.71,9.5,0.3,0.01
2016/4/28,10:19:48,23.6,25.19,7.71,9.5,0.3,0
2016/4/28,10:19:49,23.7,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:19:50,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:19:51,23.7,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:19:52,23.7,25.24,7.71,9.4,0.2,0.01
2016/4/28,10:19:53,23.7,25.19,7.7,9.4,0.3,0.01
2016/4/28,10:19:54,23.7,25.21,7.71,9.5,0.3,0
2016/4/28,10:19:55,23.7,25.24,7.71,9.5,0.3,0.01
2016/4/28,10:19:56,23.7,25.26,7.71,9.5,0.3,0.01
2016/4/28,10:19:57,23.7,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:19:58,23.7,25.26,7.7,9.3,0.2,0.01
2016/4/28,10:19:59,23.8,25.24,7.71,9.3,0.2,0.01
2016/4/28,10:20:00,23.8,25.19,7.71,9.4,0.3,0.01
2016/4/28,10:20:01,23.7,25.19,7.71,9.5,0.3,0.01
2016/4/28,10:20:02,23.7,25.21,7.71,9.5,0.3,0
2016/4/28,10:20:03,23.7,25.24,7.71,9.5,0.3,0.01
2016/4/28,10:20:04,23.7,25.26,7.71,9.5,0.3,0.01
2016/4/28,10:20:05,23.8,25.26,7.71,9.5,0.3,0.01
2016/4/28,10:20:06,23.6,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:20:07,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:20:08,23.8,25.24,7.7,9.3,0.2,0.01
2016/4/28,10:20:09,23.8,25.19,7.7,9.4,0.2,0.01
2016/4/28,10:20:10,23.7,25.19,7.7,9.5,0.3,0.01
2016/4/28,10:20:11,23.7,25.21,7.71,9.4,0.3,0
2016/4/28,10:20:12,23.7,25.21,7.71,9.4,0.3,0.01
2016/4/28,10:20:13,23.8,25.24,7.71,9.4,0.3,0
2016/4/28,10:20:14,23.7,25.26,7.71,9.5,0.3,0.01
2016/4/28,10:20:15,23.7,25.26,7.7,9.4,0.2,0.01
2016/4/28,10:20:16,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:20:17,23.8,25.26,7.7,9.3,0.2,0.01
2016/4/28,10:20:18,23.7,25.24,7.71,9.3,0.2,0.01
2016/4/28,10:20:19,23.8,25.19,7.7,9.4,0.2,0.01
2016/4/28,10:20:20,23.7,25.19,7.7,9.4,0.2,0.01
2016/4/28,10:20:21,23.6,25.24,7.7,9.4,0.3,0.01
2016/4/28,10:20:22,23.7,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:20:23,23.7,25.26,7.71,9.4,0.2,0.01
2016/4/28,10:20:24,23.7,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:20:25,23.9,25.21,7.7,9.3,0.2,0
2016/4/28,10:20:26,23.9,25.19,7.71,9.4,0.2,0.01
2016/4/28,10:20:27,23.8,25.21,7.71,9.5,0.2,0
2016/4/28,10:20:28,23.7,25.26,7.71,9.4,0.3,0.01
2016/4/28,10:20:29,23.8,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:20:30,23.7,25.28,7.71,9.4,0.2,0.01
2016/4/28,10:20:31,23.7,25.19,7.7,9.4,0.2,0
2016/4/28,10:20:32,23.7,25.21,7.7,9.4,0.2,0
2016/4/28,10:20:33,23.8,25.26,7.71,9.5,0.3,0
2016/4/28,10:20:34,23.7,25.26,7.7,9.5,0.2,0.01
2016/4/28,10:20:35,23.8,25.26,7.7,9.4,0.2,0.01
2016/4/28,10:20:36,23.8,25.21,7.7,9.3,0.2,0
2016/4/28,10:20:37,23.7,25.21,7.7,9.5,0.2,0.01
2016/4/28,10:20:38,23.6,25.24,7.71,9.5,0.3,0.01
2016/4/28,10:20:39,23.8,25.28,7.7,9.4,0.3,0.01
2016/4/28,10:20:40,23.7,25.26,7.71,9.3,0.2,0.01
2016/4/28,10:20:41,23.7,25.28,7.7,9.3,0.2,0
2016/4/28,10:20:42,23.7,25.21,7.7,9.3,0.2,0
2016/4/28,10:20:43,23.8,25.21,7.71,9.4,0.2,0
2016/4/28,10:20:44,23.8,25.24,7.7,9.5,0.3,0.01
2016/4/28,10:20:45,23.8,25.28,7.71,9.4,0.2,0.01
2016/4/28,10:20:46,23.6,25.26,7.7,9.3,0.2,0.01
2016/4/28,10:20:47,23.7,25.26,7.7,9.3,0.2,0.01
2016/4/28,10:20:48,23.7,25.21,7.7,9.4,0.2,0.01
2016/4/28,10:20:49,23.7,25.21,7.7,9.5,0.2,0
2016/4/28,10:20:50,23.7,25.24,7.7,9.4,0.3,0
2016/4/28,10:20:51,23.7,25.26,7.7,9.4,0.2,0
2016/4/28,10:20:52,23.6,25.28,7.7,9.4,0.2,0.01
2016/4/28,10:20:53,23.7,25.28,7.69,9.3,0.2,0.01
2016/4/28,10:20:54,23.7,25.24,7.7,9.3,0.2,0
2016/4/28,10:20:55,23.8,25.19,7.7,9.3,0.2,0.01
2016/4/28,10:20:56,23.6,25.21,7.7,9.5,0.2,0
2016/4/28,10:20:57,23.6,25.24,7.69,9.5,0.2,0.01
2016/4/28,10:20:58,23.6,25.28,7.7,9.4,0.2,0.01
2016/4/28,10:20:59,23.7,25.28,7.7,9.4,0.2,0.01
2016/4/28,10:21:00,23.7,25.28,7.7,9.4,0.2,0
2016/4/28,10:21:01,23.7,25.28,7.69,9.3,0.2,0
2016/4/28,10:21:02,23.7,25.21,7.7,9.3,0.2,0
2016/4/28,10:21:03,23.7,25.24,7.7,9.5,0.2,0
2016/4/28,10:21:04,23.7,25.21,7.7,9.5,0.2,0
2016/4/28,10:21:05,23.8,25.26,7.7,9.5,0.2,0.01
2016/4/28,10:21:06,23.7,25.28,7.7,9.4,0.2,0.01
2016/4/28,10:21:07,23.7,25.28,7.7,9.3,0.2,0.01
2016/4/28,10:21:08,23.7,25.28,7.7,9.3,0.2,0
2016/4/28,10:21:09,23.7,25.26,7.69,9.4,0.2,0
2016/4/28,10:21:10,23.7,25.21,7.7,9.4,0.2,0
2016/4/28,10:21:11,23.7,25.21,7.7,9.4,0.3,0
2016/4/28,10:21:12,23.7,25.24,7.7,9.4,0.3,0
2016/4/28,10:21:13,23.5,25.28,7.7,9.5,0.2,0.01
2016/4/28,10:21:14,23.6,25.28,7.7,9.4,0.2,0.01
2016/4/28,10:21:15,23.7,25.28,7.69,9.3,0.2,0.01
2016/4/28,10:21:16,23.7,25.24,7.69,9.3,0.2,0
2016/4/28,10:21:17,23.6,25.21,7.7,9.5,0.2,0
2016/4/28,10:21:18,23.7,25.24,7.7,9.5,0.3,0
2016/4/28,10:21:19,23.7,25.28,7.7,9.4,0.2,0
2016/4/28,10:21:20,23.7,25.28,7.7,9.3,0.2,0.01
2016/4/28,10:21:21,23.7,25.3,7.69,9.4,0.2,0
2016/4/28,10:21:22,23.7,25.24,7.7,9.2,0.2,0
2016/4/28,10:21:23,23.7,25.21,7.69,9.4,0.2,0
2016/4/28,10:21:24,23.7,25.24,7.69,9.5,0.3,0
2016/4/28,10:21:25,23.6,25.28,7.69,9.5,0.3,0.01
2016/4/28,10:21:26,23.7,25.28,7.69,9.3,0.2,0.01
2016/4/28,10:21:27,23.7,25.3,7.69,9.3,0.2,0
2016/4/28,10:21:28,23.8,25.21,7.7,9.4,0.2,0
2016/4/28,10:21:29,23.7,25.21,7.69,9.5,0.2,0
2016/4/28,10:21:30,23.7,25.26,7.69,9.4,0.3,0
2016/4/28,10:21:31,23.7,25.3,7.7,9.5,0.2,0
2016/4/28,10:21:32,23.7,25.28,7.7,9.4,0.2,0.01
2016/4/28,10:21:33,23.7,25.28,7.69,9.4,0.2,0.01
2016/4/28,10:21:34,23.6,25.28,7.69,9.3,0.2,0
2016/4/28,10:21:35,23.6,25.21,7.69,9.3,0.2,0
2016/4/28,10:21:36,23.5,25.21,7.7,9.5,0.3,0
2016/4/28,10:21:37,23.6,25.24,7.7,9.5,0.3,0
2016/4/28,10:21:38,23.7,25.26,7.7,9.5,0.3,0
2016/4/28,10:21:39,23.7,25.3,7.7,9.3,0.2,0
2016/4/28,10:21:40,23.7,25.28,7.69,9.4,0.2,0.01
2016/4/28,10:21:41,23.7,25.3,7.69,9.4,0.2,0
2016/4/28,10:21:42,23.8,25.26,7.69,9.3,0.2,0
2016/4/28,10:21:43,23.8,25.21,7.69,9.4,0.2,0
2016/4/28,10:21:44,23.8,25.21,7.69,9.5,0.2,0
2016/4/28,10:21:45,23.7,25.24,7.7,9.5,0.3,0
2016/4/28,10:21:46,23.7,25.28,7.7,9.5,0.2,0
