,®É¶¡,201 [,201 [,201 [Bar],201 [rpm],201 [,201 [ml]
2016/4/28,10:15:28,23.8,25.19,7.66,7.8,0.3,0.01
2016/4/28,10:15:29,23.8,25.19,7.65,7.8,0.3,0.01
2016/4/28,10:15:30,23.8,25.21,7.63,7.7,0.3,0.01
2016/4/28,10:15:31,23.8,25.21,7.62,7.7,0.3,0.01
2016/4/28,10:15:32,23.9,25.19,7.6,7.7,0.3,0.01
2016/4/28,10:15:33,23.9,25.15,7.58,7.7,0.3,0.01
2016/4/28,10:15:34,23.8,25.13,7.56,7.7,0.3,0.01
2016/4/28,10:15:35,23.7,25.15,7.55,7.8,0.3,0.01
2016/4/28,10:15:36,23.8,25.17,7.53,7.8,0.3,0.01
2016/4/28,10:15:37,23.9,25.19,7.52,7.8,0.3,0.01
2016/4/28,10:15:38,23.8,25.21,7.5,7.8,0.3,0.01
2016/4/28,10:15:39,23.9,25.19,7.5,7.7,0.3,0.01
2016/4/28,10:15:40,23.8,25.17,7.51,7.7,0.3,0.01
2016/4/28,10:15:41,23.8,25.15,7.55,7.7,0.3,0.01
2016/4/28,10:15:42,23.8,25.15,7.61,7.8,0.3,0.01
2016/4/28,10:15:43,23.8,25.19,7.68,7.8,0.3,0.01
2016/4/28,10:15:44,23.8,25.21,7.75,7.8,0.3,0.01
2016/4/28,10:15:45,23.7,25.21,7.76,7.7,0.3,0.01
2016/4/28,10:15:46,23.8,25.17,7.77,7.6,0.3,0.01
2016/4/28,10:15:47,23.8,25.15,7.77,7.7,0.3,0.01
2016/4/28,10:15:48,23.7,25.15,7.77,7.8,0.3,0.01
2016/4/28,10:15:49,23.8,25.17,7.77,7.8,0.3,0.01
2016/4/28,10:15:50,23.7,25.21,7.77,7.8,0.3,0.01
2016/4/28,10:15:51,23.8,25.19,7.77,7.7,0.3,0.01
2016/4/28,10:15:52,23.8,25.13,7.76,7.6,0.3,0.01
2016/4/28,10:15:53,23.8,25.15,7.76,7.8,0.3,0.01
2016/4/28,10:15:54,23.7,25.17,7.76,7.8,0.3,0.01
2016/4/28,10:15:55,23.8,25.19,7.76,7.8,0.3,0.01
2016/4/28,10:15:56,23.9,25.21,7.76,7.8,0.3,0.01
2016/4/28,10:15:57,23.8,25.19,7.75,7.6,0.3,0.01
2016/4/28,10:15:58,23.8,25.13,7.75,7.7,0.3,0.01
2016/4/28,10:15:59,23.9,25.15,7.75,7.8,0.3,0.01
2016/4/28,10:16:00,23.8,25.19,7.75,7.8,0.3,0.01
2016/4/28,10:16:01,23.8,25.21,7.75,10.8,0.3,0.01
2016/4/28,10:16:02,23.8,25.21,7.75,9.2,0.3,0.01
2016/4/28,10:16:03,23.8,25.17,7.75,9.1,0.3,0.01
2016/4/28,10:16:04,23.8,25.15,7.75,9.3,0.3,0.01
2016/4/28,10:16:05,23.8,25.17,7.75,9.3,0.3,0.01
2016/4/28,10:16:06,23.7,25.19,7.75,9.2,0.3,0.01
2016/4/28,10:16:07,23.7,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:08,23.8,25.19,7.74,9.1,0.3,0.01
2016/4/28,10:16:09,23.8,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:10,23.9,25.17,7.74,9.3,0.3,0.01
2016/4/28,10:16:11,23.8,25.19,7.74,9.3,0.3,0.01
2016/4/28,10:16:12,23.8,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:13,23.8,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:14,23.8,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:15,23.6,25.15,7.74,9.3,0.3,0.01
2016/4/28,10:16:16,23.6,25.19,7.74,9.3,0.3,0.01
2016/4/28,10:16:17,23.8,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:18,23.8,25.24,7.74,9.2,0.3,0.01
2016/4/28,10:16:19,23.8,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:20,23.8,25.15,7.74,9.3,0.3,0.01
2016/4/28,10:16:21,23.7,25.19,7.74,9.3,0.3,0.01
2016/4/28,10:16:22,23.8,25.21,7.74,9.3,0.3,0.01
2016/4/28,10:16:23,23.8,25.24,7.73,9.2,0.3,0.01
2016/4/28,10:16:24,23.7,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:25,23.8,25.17,7.74,9.3,0.3,0.01
2016/4/28,10:16:26,23.8,25.21,7.74,9.3,0.3,0.01
2016/4/28,10:16:27,23.7,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:28,23.7,25.19,7.74,9.2,0.3,0.01
2016/4/28,10:16:29,23.8,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:30,23.7,25.19,7.74,9.4,0.3,0.01
2016/4/28,10:16:31,23.7,25.21,7.74,9.3,0.3,0.01
2016/4/28,10:16:32,23.7,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:33,23.8,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:34,23.7,25.17,7.74,9.4,0.3,0.01
2016/4/28,10:16:35,23.7,25.19,7.74,9.3,0.3,0.01
2016/4/28,10:16:36,23.8,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:37,23.7,25.19,7.73,9.2,0.3,0.01
2016/4/28,10:16:38,23.7,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:39,23.8,25.17,7.74,9.3,0.3,0.01
2016/4/28,10:16:40,23.7,25.21,7.73,9.4,0.3,0.01
2016/4/28,10:16:41,23.7,25.21,7.74,9.2,0.3,0.01
2016/4/28,10:16:42,23.7,25.19,7.73,9.2,0.3,0.01
2016/4/28,10:16:43,23.7,25.15,7.74,9.2,0.3,0.01
2016/4/28,10:16:44,23.6,25.17,7.73,9.4,0.3,0.01
